class,v2_original_count,orig_original_count,combined_original_count,train_original_count,validation_count,test_count,augmented_train_count,final_train_count
a,97,1,98,78,10,10,TBD,TBD
aa,100,0,100,80,10,10,TBD,TBD
ae,100,0,100,80,10,10,TBD,TBD
aee,100,0,100,80,10,10,TBD,TBD
aha,100,0,100,80,10,10,TBD,TBD
am,99,0,99,79,10,10,TBD,TBD
ba,100,0,100,80,10,10,TBD,TBD
bha,99,0,99,79,10,10,TBD,TBD
cha,100,0,100,80,10,10,TBD,TBD
chha,100,0,100,80,10,10,TBD,TBD
da,99,0,99,79,10,10,TBD,TBD
dda,100,0,100,80,10,10,TBD,TBD
dha,100,0,100,80,10,10,TBD,TBD
dhha,100,0,100,80,10,10,TBD,TBD
e,100,0,100,80,10,10,TBD,TBD
ee,100,0,100,80,10,10,TBD,TBD
ga,100,0,100,80,10,10,TBD,TBD
gha,100,0,100,80,10,10,TBD,TBD
ha,99,0,99,79,10,10,TBD,TBD
i,100,0,100,80,10,10,TBD,TBD
ja,99,0,99,79,10,10,TBD,TBD
jha,100,0,100,80,10,10,TBD,TBD
ka,100,0,100,80,10,10,TBD,TBD
kha,99,0,99,79,10,10,TBD,TBD
la,99,0,99,79,10,10,TBD,TBD
lla,100,0,100,80,10,10,TBD,TBD
ma,100,0,100,80,10,10,TBD,TBD
na,100,0,100,80,10,10,TBD,TBD
nna,100,0,100,80,10,10,TBD,TBD
nya,98,0,98,78,10,10,TBD,TBD
nza,100,0,100,80,10,10,TBD,TBD
o,99,0,99,79,10,10,TBD,TBD
oo,99,0,99,79,10,10,TBD,TBD
ou,99,0,99,79,10,10,TBD,TBD
pa,100,0,100,80,10,10,TBD,TBD
pha,99,0,99,79,10,10,TBD,TBD
ra,99,0,99,79,10,10,TBD,TBD
ru,100,0,100,80,10,10,TBD,TBD
ruu,100,0,100,80,10,10,TBD,TBD
sa,99,0,99,79,10,10,TBD,TBD
sha,89,0,89,71,9,9,TBD,TBD
shha,100,0,100,80,10,10,TBD,TBD
ta,99,0,99,79,10,10,TBD,TBD
tha,100,0,100,80,10,10,TBD,TBD
thha,100,0,100,80,10,10,TBD,TBD
tta,99,0,99,79,10,10,TBD,TBD
u,100,0,100,80,10,10,TBD,TBD
uu,100,0,100,80,10,10,TBD,TBD
va,98,0,98,78,10,10,TBD,TBD
ya,100,0,100,80,10,10,TBD,TBD
