sha256,dup_type,path,class_name,source
c1e0a22c6d20986f42d3f0edc7f57f1ce44b012e169fa799fedde8bf168afb0f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_1.png,a,Tulu-Dtatset-V2
c1e0a22c6d20986f42d3f0edc7f57f1ce44b012e169fa799fedde8bf168afb0f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_1.png,a,tulu-dataset
d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_10.png,a,Tulu-Dtatset-V2
d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_11.png,a,Tulu-Dtatset-V2
d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_10.png,a,tulu-dataset
d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_11.png,a,tulu-dataset
163373963319f42a64890da463e90085cc10443feda92b17c1f772a5cde9df23,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_100.png,a,Tulu-Dtatset-V2
163373963319f42a64890da463e90085cc10443feda92b17c1f772a5cde9df23,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_100.png,a,tulu-dataset
88dddd4ae9780f62fd0033a00b17fb43009f63c250248fa6ef3ebf1065ae937d,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_12.png,a,Tulu-Dtatset-V2
88dddd4ae9780f62fd0033a00b17fb43009f63c250248fa6ef3ebf1065ae937d,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_12.png,a,tulu-dataset
d43da8a346c8275b78ce0f927f471940d8910680a976137e787c1a33f6bb9e6f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_13.png,a,Tulu-Dtatset-V2
d43da8a346c8275b78ce0f927f471940d8910680a976137e787c1a33f6bb9e6f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_13.png,a,tulu-dataset
6d6ac44d2ed8b20e20ced526724c98740f54dba187a8cb86c99f95e8d0c45d8c,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_14.png,a,Tulu-Dtatset-V2
6d6ac44d2ed8b20e20ced526724c98740f54dba187a8cb86c99f95e8d0c45d8c,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_14.png,a,tulu-dataset
2f98add3afbbd6046be603b12e723bee474e4b3f5149c2eb14f9dd37b39a811f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_15.png,a,Tulu-Dtatset-V2
2f98add3afbbd6046be603b12e723bee474e4b3f5149c2eb14f9dd37b39a811f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_15.png,a,tulu-dataset
