path,filename,class_name,source_dataset,extension,sha256,phash,dhash
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_1.png,a_1.png,a,Tulu-Dtatset-V2,.png,c1e0a22c6d20986f42d3f0edc7f57f1ce44b012e169fa799fedde8bf168afb0f,bdc3c61c9a672496,0400061233161620
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_10.png,a_10.png,a,Tulu-Dtatset-V2,.png,d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,f5e2c28c3df3602c,0200061a36960092
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_100.png,a_100.png,a,Tulu-Dtatset-V2,.png,163373963319f42a64890da463e90085cc10443feda92b17c1f772a5cde9df23,d5150a3d3b237e2c,3ef004ce36368020
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_11.png,a_11.png,a,Tulu-Dtatset-V2,.png,d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,f5e2c28c3df3602c,0200061a36960092
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_12.png,a_12.png,a,Tulu-Dtatset-V2,.png,88dddd4ae9780f62fd0033a00b17fb43009f63c250248fa6ef3ebf1065ae937d,b986c63972651d9a,b400448b2b33122c
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_13.png,a_13.png,a,Tulu-Dtatset-V2,.png,d43da8a346c8275b78ce0f927f471940d8910680a976137e787c1a33f6bb9e6f,b6c9c93631c10ecf,0010401c0e260830
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_14.png,a_14.png,a,Tulu-Dtatset-V2,.png,6d6ac44d2ed8b20e20ced526724c98740f54dba187a8cb86c99f95e8d0c45d8c,ebc0843edac5279c,0200261339470610
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_15.png,a_15.png,a,Tulu-Dtatset-V2,.png,2f98add3afbbd6046be603b12e723bee474e4b3f5149c2eb14f9dd37b39a811f,b6c9c036c1c63ef1,000008801c2dac00
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_16.png,a_16.png,a,Tulu-Dtatset-V2,.png,fcf1fccb3759618449abbc5af9debc90e52b2b304049c25c1c50ce0c5d6032bc,fcd1d04c51740fd9,0c08002e2a272600
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_17.png,a_17.png,a,Tulu-Dtatset-V2,.png,8c91f0c9096f0c8bcaef9b794789cc49f861416c3337f1fb94cd15e1420a3b48,bcd1c30ed93037c9,08000c2e26262400
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_18.png,a_18.png,a,Tulu-Dtatset-V2,.png,80900e98d6b662640ba51d35b9dba94674750565a5db4402aea2d1d012919799,ac72c31d9ad2652e,2016863b33160096
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_19.png,a_19.png,a,Tulu-Dtatset-V2,.png,caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,bc71c3cc1cdb6464,800c8632360640c4
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_2.png,a_2.png,a,Tulu-Dtatset-V2,.png,2f928d3b068657a6eb23f663b63c785d3aa38c6a12146e90dfd9e1aa21653e33,e9e4961968e623d9,022086273b1b001b
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_20.png,a_20.png,a,Tulu-Dtatset-V2,.png,ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86,e9e6c6199a932966,808606131316d280
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_21.png,a_21.png,a,Tulu-Dtatset-V2,.png,f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd,e9e686199ac6696c,04000751139b8892
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_22.png,a_22.png,a,Tulu-Dtatset-V2,.png,f5b10a81a1269feb34675b26424bf6e6865d5fb51b3777241123b3380cd245aa,acf3c30c9bd12437,00148eaa22361420
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_23.png,a_23.png,a,Tulu-Dtatset-V2,.png,ea207ce91169e4d94afdda0451c64fa54dff02512df4021f4480ffb14a15f616,acf3d30cdb6024d3,2a100eaa2326b640
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_24.png,a_24.png,a,Tulu-Dtatset-V2,.png,c7ae58c8858efb026998050e38b6287a4e39912c327001b81d738834014c8ae2,fcd2d35c527044d3,0800048e23371600
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_25.png,a_25.png,a,Tulu-Dtatset-V2,.png,88699fec30afe50d7124cd106c40305e3f4d2ec9ed032e4259867e46f8258e46,bc77c31c4cd33066,00040eb236168034
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_27.png,a_27.png,a,Tulu-Dtatset-V2,.png,f2df62f8c5ec19483d982042eec39f1639a0ec3eb3cb441feb09edd1f5e7db5f,ac73d38c0dd37426,0014ae2a263600a4
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_28.png,a_28.png,a,Tulu-Dtatset-V2,.png,0029f495553a43950f65b62e21789cf4a9ddafac2852fe0730742a8b3e92146f,bcc3d31cc33466c3,1a00048ea2361600
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_3.png,a_3.png,a,Tulu-Dtatset-V2,.png,32b8a5fa3cfc608b018b9cdce02626dbcfe6594d165e6dd769eb7cafcf873c8b,b4c3c93ce339cc31,0008004c0d361418
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_30.png,a_30.png,a,Tulu-Dtatset-V2,.png,692e6d05f11c6e9c9c612ea3de60e3160c336ecbc5d01867264980fc3a345435,b473c39c1cc36734,808c8e3236968054
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_31.png,a_31.png,a,Tulu-Dtatset-V2,.png,41cd2f8e43f6d2c061457f883f65c0e1c75107b28948201ee778d9dc84b02113,f966c638989b3934,00861e12161688a4
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_32.png,a_32.png,a,Tulu-Dtatset-V2,.png,b3cd3466d679d7c871d69aea4e76c03156aa9099bcdb0e00122ab950b59599fe,fb848479e56b3894,06102b4714190900
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_33.png,a_33.png,a,Tulu-Dtatset-V2,.png,123b649e224fbd51c88cad437f745e4e96bd32a5a7d6eba387c28ce3ba25001f,a7d0c60d7036d9d6,0400102f66626e2c
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_34.png,a_34.png,a,Tulu-Dtatset-V2,.png,f70de1b4eb30e16242ef2ef5124a4ed4da14fbc4de079bad7441635c97983774,fcd3d4584774da40,8484800612321616
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_35.png,a_35.png,a,Tulu-Dtatset-V2,.png,a999a7a04561c23c76152635bd84edadfcd2e9e8a79366813ebc3285eafd60a3,f9c68718d2652c97,0200061711131300
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_36.png,a_36.png,a,Tulu-Dtatset-V2,.png,3991e0c9987322c38cae3f93ecf48033571b4a767798f086b23b4721a1fe3c7b,e9e694191ac66d74,c240c3999b9b8042
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_37.png,a_37.png,a,Tulu-Dtatset-V2,.png,689958d9d17f850850c94bad9697ff772ac3cd00aee05af7e2f8eb849c9ae36c,e9c6d438c6659ac3,8692804711131300
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_38.png,a_38.png,a,Tulu-Dtatset-V2,.png,ff7e01a4fdcb335af9db5cbca099feb3ee4e3046088cacd47ebeb43cc3d145fb,e1c6d619d26574d2,c48086469392d680
