class,v2_count,orig_count,combined
a,98,99,197
aa,100,100,200
ae,100,100,200
aee,100,100,200
aha,100,100,200
am,100,100,200
ba,100,100,200
bha,99,99,198
cha,100,100,200
chha,100,100,200
da,100,100,200
dda,100,100,200
dha,100,100,200
dhha,100,100,200
e,100,100,200
ee,100,100,200
ga,100,100,200
gha,100,100,200
ha,100,100,200
i,100,100,200
ja,100,100,200
jha,100,100,200
ka,100,100,200
kha,100,100,200
la,100,100,200
lla,100,100,200
ma,100,100,200
na,100,100,200
nna,100,100,200
nya,98,98,196
nza,100,100,200
o,100,100,200
oo,100,100,200
ou,100,100,200
pa,100,100,200
pha,100,100,200
ra,100,100,200
ru,100,100,200
ruu,100,100,200
sa,99,99,198
sha,89,89,178
shha,100,100,200
ta,99,99,198
tha,100,100,200
thha,100,100,200
tta,99,99,198
u,100,100,200
uu,100,100,200
va,98,98,196
ya,100,100,200
