path,filename,extension,file_size,is_valid,width,height,mode,sha256,error,class_name,source_dataset
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_1.png,a_1.png,.png,46939,True,365,350,RGBA,c1e0a22c6d20986f42d3f0edc7f57f1ce44b012e169fa799fedde8bf168afb0f,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_10.png,a_10.png,.png,57688,True,369,357,RGBA,d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_100.png,a_100.png,.png,58957,True,369,357,RGBA,163373963319f42a64890da463e90085cc10443feda92b17c1f772a5cde9df23,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_11.png,a_11.png,.png,57688,True,369,357,RGBA,d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_12.png,a_12.png,.png,49271,True,351,355,RGBA,88dddd4ae9780f62fd0033a00b17fb43009f63c250248fa6ef3ebf1065ae937d,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_13.png,a_13.png,.png,39909,True,348,349,RGBA,d43da8a346c8275b78ce0f927f471940d8910680a976137e787c1a33f6bb9e6f,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_14.png,a_14.png,.png,51343,True,356,349,RGBA,6d6ac44d2ed8b20e20ced526724c98740f54dba187a8cb86c99f95e8d0c45d8c,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_15.png,a_15.png,.png,33372,True,350,346,RGBA,2f98add3afbbd6046be603b12e723bee474e4b3f5149c2eb14f9dd37b39a811f,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_16.png,a_16.png,.png,43234,True,365,350,RGBA,fcf1fccb3759618449abbc5af9debc90e52b2b304049c25c1c50ce0c5d6032bc,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_17.png,a_17.png,.png,44858,True,365,350,RGBA,8c91f0c9096f0c8bcaef9b794789cc49f861416c3337f1fb94cd15e1420a3b48,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_18.png,a_18.png,.png,42059,True,365,350,RGBA,80900e98d6b662640ba51d35b9dba94674750565a5db4402aea2d1d012919799,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_19.png,a_19.png,.png,43933,True,365,350,RGBA,caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_2.png,a_2.png,.png,48906,True,343,337,RGBA,2f928d3b068657a6eb23f663b63c785d3aa38c6a12146e90dfd9e1aa21653e33,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_20.png,a_20.png,.png,47589,True,365,350,RGBA,ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86,,a,Tulu-Dtatset-V2
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_21.png,a_21.png,.png,44053,True,365,350,RGBA,f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd,,a,Tulu-Dtatset-V2
