class_name,v2_count,orig_count,combined
a,97,1,98
aa,100,0,100
ae,100,0,100
aee,100,0,100
aha,100,0,100
am,99,0,99
ba,100,0,100
bha,99,0,99
cha,100,0,100
chha,100,0,100
da,99,0,99
dda,100,0,100
dha,100,0,100
dhha,100,0,100
e,100,0,100
ee,100,0,100
ga,100,0,100
gha,100,0,100
ha,99,0,99
i,100,0,100
ja,99,0,99
jha,100,0,100
ka,100,0,100
kha,99,0,99
la,99,0,99
lla,100,0,100
ma,100,0,100
na,100,0,100
nna,100,0,100
nya,98,0,98
nza,100,0,100
o,99,0,99
oo,99,0,99
ou,99,0,99
pa,100,0,100
pha,99,0,99
ra,99,0,99
ru,100,0,100
ruu,100,0,100
sa,99,0,99
sha,89,0,89
shha,100,0,100
ta,99,0,99
tha,100,0,100
thha,100,0,100
tta,99,0,99
u,100,0,100
uu,100,0,100
va,98,0,98
ya,100,0,100
