class,v2_path,orig_path,phash_distance,v2_sha256,orig_sha256
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_13.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_5.png,8,d43da8a346c8275b78ce0f927f471940d8910680a976137e787c1a33f6bb9e6f,4a3b1e6d0294fbd8b8c5f62e0aaf737fe5228b0ed506694ba443ea6309b215a2
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_19.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_27.png,10,caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,f2df62f8c5ec19483d982042eec39f1639a0ec3eb3cb441feb09edd1f5e7db5f
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_19.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_30.png,10,caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,692e6d05f11c6e9c9c612ea3de60e3160c336ecbc5d01867264980fc3a345435
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_19.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_42.png,10,caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,8fea2f18b4af3c21868b486bfd85140c92eaf4cabd26838d46f77921ff62a6e6
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_20.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_21.png,8,ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86,f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_20.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_31.png,10,ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86,41cd2f8e43f6d2c061457f883f65c0e1c75107b28948201ee778d9dc84b02113
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_21.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_20.png,8,f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd,ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_21.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_36.png,6,f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd,3991e0c9987322c38cae3f93ecf48033571b4a767798f086b23b4721a1fe3c7b
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_22.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_23.png,10,f5b10a81a1269feb34675b26424bf6e6865d5fb51b3777241123b3380cd245aa,ea207ce91169e4d94afdda0451c64fa54dff02512df4021f4480ffb14a15f616
a,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_23.png,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_22.png,10,ea207ce91169e4d94afdda0451c64fa54dff02512df4021f4480ffb14a15f616,f5b10a81a1269feb34675b26424bf6e6865d5fb51b3777241123b3380cd245aa
