image_path,source_dataset,class_name,split,sha256,image_width,image_height,image_mode,file_name,file_extension
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_89.png,Tulu-Dtatset-V2,a,train,bc41d5751aa119320a92158fd558ad71e1f18b06d3a0d233b1143ee415b2bfb9,369.0,357.0,RGBA,a_89.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_65.png,Tulu-Dtatset-V2,a,train,d74c6f1079087c342fa679f17ebadc1453cd88e13dbe2d8dba2d7204825c113c,361.0,346.0,RGBA,a_65.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_68.png,Tulu-Dtatset-V2,a,train,5befe3e07e95b403fc7c9bbd912c4774d0974d6e0f2010338b3953016507b87e,361.0,346.0,RGBA,a_68.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_18.png,Tulu-Dtatset-V2,a,train,80900e98d6b662640ba51d35b9dba94674750565a5db4402aea2d1d012919799,365.0,350.0,RGBA,a_18.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_41.png,Tulu-Dtatset-V2,a,train,86db85fd6a12464bfb61601a1e136727fc04544cd54801dee6cedf6084ce7e7e,365.0,350.0,RGBA,a_41.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_35.png,Tulu-Dtatset-V2,a,train,a999a7a04561c23c76152635bd84edadfcd2e9e8a79366813ebc3285eafd60a3,365.0,350.0,RGBA,a_35.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_10.png,Tulu-Dtatset-V2,a,train,d1633fe6df689474439cd9d53a9f95263be13b1573fce32e93c62feb2b339777,369.0,357.0,RGBA,a_10.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_73.png,Tulu-Dtatset-V2,a,train,041c48d13ab809f76fb03a688047fdb83298898216b2e5fa85f055795fa2760a,359.0,343.0,RGBA,a_73.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_23.png,Tulu-Dtatset-V2,a,train,ea207ce91169e4d94afdda0451c64fa54dff02512df4021f4480ffb14a15f616,365.0,350.0,RGBA,a_23.png,.png
/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_66.png,Tulu-Dtatset-V2,a,train,60453c5d209b3298421bf69ac568e5fad09ba37286f2dd86a8c22f1a406dc13b,361.0,346.0,RGBA,a_66.png,.png
