class,train_count,validation_count,test_count,total_count
a,78,10,10,98
aa,80,10,10,100
ae,80,10,10,100
aee,80,10,10,100
aha,80,10,10,100
am,79,10,10,99
ba,80,10,10,100
bha,79,10,10,99
cha,80,10,10,100
chha,80,10,10,100
da,79,10,10,99
dda,80,10,10,100
dha,80,10,10,100
dhha,80,10,10,100
e,80,10,10,100
ee,80,10,10,100
ga,80,10,10,100
gha,80,10,10,100
ha,79,10,10,99
i,80,10,10,100
ja,79,10,10,99
jha,80,10,10,100
ka,80,10,10,100
kha,79,10,10,99
la,79,10,10,99
lla,80,10,10,100
ma,80,10,10,100
na,80,10,10,100
nna,80,10,10,100
nya,78,10,10,98
nza,80,10,10,100
o,79,10,10,99
oo,79,10,10,99
ou,79,10,10,99
pa,80,10,10,100
pha,79,10,10,99
ra,79,10,10,99
ru,80,10,10,100
ruu,80,10,10,100
sa,79,10,10,99
sha,71,9,9,89
shha,80,10,10,100
ta,79,10,10,99
tha,80,10,10,100
thha,80,10,10,100
tta,79,10,10,99
u,80,10,10,100
uu,80,10,10,100
va,78,10,10,98
ya,80,10,10,100
